timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1777919548190,549,HTTP Request,200,OK,Config 3: Exp1.3 1-1,text,true,,231,158,1,1,http://localhost:8079/?token=518504778&user=-1355064518&config=3,549,0,1
1777919551189,520,HTTP Request,200,OK,Config 3: Exp1.3 1-1,text,true,,231,158,1,1,http://localhost:8079/?token=518504778&user=-1355064518&config=3,520,0,0
1777919554190,524,HTTP Request,200,OK,Config 3: Exp1.3 1-1,text,true,,231,158,1,1,http://localhost:8079/?token=518504778&user=-1355064518&config=3,524,0,0
1777919555884,572,HTTP Request,200,OK,Config 3: Exp1.3 1-2,text,true,,231,158,2,2,http://localhost:8079/?token=518504778&user=-1355064518&config=3,572,0,0
1777919557190,523,HTTP Request,200,OK,Config 3: Exp1.3 1-1,text,true,,231,158,2,2,http://localhost:8079/?token=518504778&user=-1355064518&config=3,523,0,0
1777919558883,531,HTTP Request,200,OK,Config 3: Exp1.3 1-2,text,true,,231,158,2,2,http://localhost:8079/?token=518504778&user=-1355064518&config=3,531,0,0
1777919560190,536,HTTP Request,200,OK,Config 3: Exp1.3 1-1,text,true,,231,158,2,2,http://localhost:8079/?token=518504778&user=-1355064518&config=3,536,0,0
1777919561883,522,HTTP Request,200,OK,Config 3: Exp1.3 1-2,text,true,,231,158,2,2,http://localhost:8079/?token=518504778&user=-1355064518&config=3,522,0,0
1777919563191,525,HTTP Request,200,OK,Config 3: Exp1.3 1-1,text,true,,231,158,3,3,http://localhost:8079/?token=518504778&user=-1355064518&config=3,525,0,0
1777919563575,567,HTTP Request,200,OK,Config 3: Exp1.3 1-3,text,true,,231,158,3,3,http://localhost:8079/?token=518504778&user=-1355064518&config=3,567,0,1
1777919564882,526,HTTP Request,200,OK,Config 3: Exp1.3 1-2,text,true,,231,158,3,3,http://localhost:8079/?token=518504778&user=-1355064518&config=3,526,0,0
1777919566190,534,HTTP Request,200,OK,Config 3: Exp1.3 1-1,text,true,,231,158,3,3,http://localhost:8079/?token=518504778&user=-1355064518&config=3,534,0,0
1777919566573,536,HTTP Request,200,OK,Config 3: Exp1.3 1-3,text,true,,231,158,3,3,http://localhost:8079/?token=518504778&user=-1355064518&config=3,536,0,0
1777919567881,526,HTTP Request,200,OK,Config 3: Exp1.3 1-2,text,true,,231,158,3,3,http://localhost:8079/?token=518504778&user=-1355064518&config=3,526,0,0
1777919569189,530,HTTP Request,200,OK,Config 3: Exp1.3 1-1,text,true,,231,158,3,3,http://localhost:8079/?token=518504778&user=-1355064518&config=3,530,0,0
1777919569574,550,HTTP Request,200,OK,Config 3: Exp1.3 1-3,text,true,,231,158,3,3,http://localhost:8079/?token=518504778&user=-1355064518&config=3,550,0,0
1777919570882,543,HTTP Request,200,OK,Config 3: Exp1.3 1-2,text,true,,231,158,4,4,http://localhost:8079/?token=518504778&user=-1355064518&config=3,543,0,0
1777919571267,576,HTTP Request,200,OK,Config 3: Exp1.3 1-4,text,true,,231,158,4,4,http://localhost:8079/?token=518504778&user=-1355064518&config=3,576,0,1
1777919572189,545,HTTP Request,200,OK,Config 3: Exp1.3 1-1,text,true,,231,158,4,4,http://localhost:8079/?token=518504778&user=-1355064518&config=3,545,0,0
1777919572574,539,HTTP Request,200,OK,Config 3: Exp1.3 1-3,text,true,,231,158,4,4,http://localhost:8079/?token=518504778&user=-1355064518&config=3,539,0,0
1777919573882,528,HTTP Request,200,OK,Config 3: Exp1.3 1-2,text,true,,231,158,4,4,http://localhost:8079/?token=518504778&user=-1355064518&config=3,528,0,0
1777919574267,549,HTTP Request,200,OK,Config 3: Exp1.3 1-4,text,true,,231,158,4,4,http://localhost:8079/?token=518504778&user=-1355064518&config=3,549,0,0
1777919575189,546,HTTP Request,200,OK,Config 3: Exp1.3 1-1,text,true,,231,158,4,4,http://localhost:8079/?token=518504778&user=-1355064518&config=3,546,0,0
1777919575573,531,HTTP Request,200,OK,Config 3: Exp1.3 1-3,text,true,,231,158,4,4,http://localhost:8079/?token=518504778&user=-1355064518&config=3,531,0,0
1777919576883,535,HTTP Request,200,OK,Config 3: Exp1.3 1-2,text,true,,231,158,4,4,http://localhost:8079/?token=518504778&user=-1355064518&config=3,535,0,0
1777919577267,536,HTTP Request,200,OK,Config 3: Exp1.3 1-4,text,true,,231,158,4,4,http://localhost:8079/?token=518504778&user=-1355064518&config=3,536,0,0
1777919578191,533,HTTP Request,200,OK,Config 3: Exp1.3 1-1,text,true,,231,158,4,4,http://localhost:8079/?token=518504778&user=-1355064518&config=3,533,0,0
1777919578575,530,HTTP Request,200,OK,Config 3: Exp1.3 1-3,text,true,,231,158,5,5,http://localhost:8079/?token=518504778&user=-1355064518&config=3,530,0,0
1777919578960,588,HTTP Request,200,OK,Config 3: Exp1.3 1-5,text,true,,231,158,5,5,http://localhost:8079/?token=518504778&user=-1355064518&config=3,588,0,1
1777919579883,535,HTTP Request,200,OK,Config 3: Exp1.3 1-2,text,true,,231,158,5,5,http://localhost:8079/?token=518504778&user=-1355064518&config=3,535,0,0
1777919580267,535,HTTP Request,200,OK,Config 3: Exp1.3 1-4,text,true,,231,158,5,5,http://localhost:8079/?token=518504778&user=-1355064518&config=3,535,0,0
1777919581191,541,HTTP Request,200,OK,Config 3: Exp1.3 1-1,text,true,,231,158,5,5,http://localhost:8079/?token=518504778&user=-1355064518&config=3,541,0,0
1777919581575,536,HTTP Request,200,OK,Config 3: Exp1.3 1-3,text,true,,231,158,5,5,http://localhost:8079/?token=518504778&user=-1355064518&config=3,536,0,0
1777919581959,539,HTTP Request,200,OK,Config 3: Exp1.3 1-5,text,true,,231,158,5,5,http://localhost:8079/?token=518504778&user=-1355064518&config=3,539,0,0
1777919582883,545,HTTP Request,200,OK,Config 3: Exp1.3 1-2,text,true,,231,158,5,5,http://localhost:8079/?token=518504778&user=-1355064518&config=3,545,0,0
