timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1777968555382,888,HTTP Request,200,OK,Config 3: Exp8 1-1,text,true,,231,158,3,3,http://localhost:8079/?token=518504778&user=-1355064518&config=3,888,0,2
1777968555797,641,HTTP Request,200,OK,Config 3: Exp8 1-2,text,true,,231,158,3,3,http://localhost:8079/?token=518504778&user=-1355064518&config=3,641,0,1
1777968556213,673,HTTP Request,200,OK,Config 3: Exp8 1-3,text,true,,231,158,4,4,http://localhost:8079/?token=518504778&user=-1355064518&config=3,672,0,1
1777968556630,629,HTTP Request,200,OK,Config 3: Exp8 1-4,text,true,,231,158,5,5,http://localhost:8079/?token=518504778&user=-1355064518&config=3,629,0,1
1777968557048,670,HTTP Request,200,OK,Config 3: Exp8 1-5,text,true,,231,158,6,6,http://localhost:8079/?token=518504778&user=-1355064518&config=3,670,0,0
1777968557465,669,HTTP Request,200,OK,Config 3: Exp8 1-6,text,true,,231,158,7,7,http://localhost:8079/?token=518504778&user=-1355064518&config=3,669,0,0
1777968557883,631,HTTP Request,200,OK,Config 3: Exp8 1-7,text,true,,231,158,8,8,http://localhost:8079/?token=518504778&user=-1355064518&config=3,631,0,0
1777968558298,636,HTTP Request,200,OK,Config 3: Exp8 1-8,text,true,,231,158,9,9,http://localhost:8079/?token=518504778&user=-1355064518&config=3,636,0,1
1777968558380,567,HTTP Request,200,OK,Config 3: Exp8 1-1,text,true,,231,158,9,9,http://localhost:8079/?token=518504778&user=-1355064518&config=3,567,0,0
1777968558796,585,HTTP Request,200,OK,Config 3: Exp8 1-2,text,true,,231,158,10,10,http://localhost:8079/?token=518504778&user=-1355064518&config=3,585,0,0
1777968558716,689,HTTP Request,200,OK,Config 3: Exp8 1-9,text,true,,231,158,10,10,http://localhost:8079/?token=518504778&user=-1355064518&config=3,689,0,1
1777968559132,656,HTTP Request,200,OK,Config 3: Exp8 1-10,text,true,,231,158,11,11,http://localhost:8079/?token=518504778&user=-1355064518&config=3,656,0,0
1777968559213,600,HTTP Request,200,OK,Config 3: Exp8 1-3,text,true,,231,158,11,11,http://localhost:8079/?token=518504778&user=-1355064518&config=3,600,0,0
1777968559630,587,HTTP Request,200,OK,Config 3: Exp8 1-4,text,true,,231,158,12,12,http://localhost:8079/?token=518504778&user=-1355064518&config=3,587,0,0
1777968559549,718,HTTP Request,200,OK,Config 3: Exp8 1-11,text,true,,231,158,12,12,http://localhost:8079/?token=518504778&user=-1355064518&config=3,718,0,0
